submitted_at,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,O,C,E,A,N,arquetipo,edad,genero,estado,municipio
24/07/2026 02:56:53,4,3,3,2,4,4,4,2,5,4,5,2,5,4,4,1,3,1,2,4,3.5,4.0,4.5,4.5,2.0,El Ancla Emocional,25,Femenino,Guanajuato,Irapuato
23/07/2026 11:53:43,5,4,4,2,3,2,3,5,3,3,4,4,4,3,3,3,4,4,4,3,4.25,2.25,3.0,3.25,3.75,El Explorador Distraído,18,Masculino,Guanajuato,Silao
23/07/2026 04:46:25,2,2,3,2,3,3,4,3,3,2,3,2,4,5,5,2,2,2,2,5,2.75,3.25,3.0,4.5,1.75,El Ancla Emocional,25,Femenino,Queretaro,N/A
22/07/2026 10:34:12,3,3,4,3,3,3,3,5,4,3,3,2,4,4,3,3,5,5,5,2,3.25,2.5,3.5,3.5,4.75,El Sensible Espontáneo,20,Masculino,Guanajuato,Guanajuato
07/07/2026 01:24:04,2,3,3,2,3,3,3,4,3,5,5,1,5,4,4,1,1,1,1,5,3.0,2.75,4.5,4.5,1.0,El Ancla Emocional,25,Masculino,Guanajuato,Guanajuato
31/07/2026 18:10:11,4,4,4,1,2,2,3,4,4,4,4,2,5,5,5,2,1,1,2,4,4.25,2.25,4.0,4.75,1.5,El Ancla Emocional,20,Masculino,Guanajuato,Salamanca
17/07/2026 16:38:01,4,4,4,2,2,2,3,4,2,2,2,2,3,2,3,1,4,4,4,2,4.0,2.25,2.5,3.25,4.0,El Sensible Espontáneo,24,Masculino,Guanajuato,San Luis de la Paz
16/07/2026 03:47:58,4,4,5,2,5,5,5,1,2,2,2,4,3,4,4,3,2,2,2,4,4.25,5.0,2.0,3.5,2.0,El Arquitecto Silencioso,26,Masculino,Guanajuato,Silao
24/07/2026 03:22:14,4,4,3,3,4,4,4,2,1,1,1,5,2,3,1,2,3,2,3,2,3.5,4.0,1.0,2.5,3.0,El Arquitecto Silencioso,22,Masculino,Guanajuato,Dolores Hidalgo
29/07/2026 23:14:28,3,3,3,2,4,4,4,3,4,4,4,1,4,4,4,2,3,3,2,3,3.25,3.75,4.25,4.0,2.75,El Carismático Estable,19,Masculino,Queretaro,N/A
21/07/2026 02:49:34,4,4,4,3,3,3,5,3,4,3,3,3,3,5,3,2,4,4,4,3,3.75,3.5,3.25,3.75,3.75,El Introspectivo Profundo,23,Masculino,Guanajuato,Valle de Santiago
29/07/2026 20:51:31,4,4,4,3,4,5,4,1,5,5,5,1,5,5,5,2,2,2,2,4,3.75,4.5,5.0,4.75,2.0,El Carismático Estable,24,Femenino,Guanajuato,Guanajuato
14/07/2026 11:48:42,4,4,4,2,3,2,2,4,4,4,3,4,4,4,4,2,2,2,2,4,4.0,2.25,3.25,4.0,2.0,El Ancla Emocional,21,Femenino,Guanajuato,Leon
12/07/2026 09:33:26,3,3,3,4,3,3,4,3,4,4,4,2,3,3,3,2,2,2,2,5,2.75,3.25,4.0,3.25,1.75,El Carismático Estable,21,Femenino,Queretaro,N/A
26/07/2026 23:57:40,4,4,3,5,2,3,2,4,3,3,3,2,4,3,3,3,4,4,5,3,3.0,2.25,3.25,3.25,4.0,El Sensible Espontáneo,24,Femenino,Ciudad de Mexico,N/A
27/07/2026 00:34:11,2,3,3,3,1,1,2,5,3,3,3,4,3,2,3,3,5,5,5,2,2.75,1.25,2.75,2.75,4.75,El Sensible Espontáneo,29,Masculino,Guanajuato,Dolores Hidalgo
06/07/2026 12:10:30,4,4,3,2,5,4,5,1,2,1,2,4,4,3,3,4,4,3,3,3,3.75,4.75,1.75,3.0,3.25,El Arquitecto Silencioso,22,Femenino,Guanajuato,San Luis de la Paz
25/07/2026 09:01:12,3,3,3,3,5,5,4,3,1,2,2,3,2,3,3,1,1,2,2,3,3.0,4.25,2.0,3.25,2.0,El Arquitecto Silencioso,21,Femenino,Guanajuato,Silao
31/07/2026 15:26:57,3,3,3,4,5,5,5,2,2,2,2,4,2,2,3,3,4,3,3,4,2.75,4.75,2.0,2.5,3.0,El Arquitecto Silencioso,24,Femenino,Guanajuato,Valle de Santiago
07/07/2026 06:11:22,3,3,3,2,4,4,4,2,4,4,4,3,4,4,4,2,5,5,5,2,3.25,4.0,3.75,4.0,4.75,El Preocupado Metódico,30,Femenino,Guanajuato,Leon
