timestamp,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,O,C,E,A,N,arquetipo,edad,genero,estado,municipio
20/7/2026 16:49:47,5,5,4,1,1,5,5,5,4,2,5,2,5,2,5,2,1,1,2,5,4.75,3,3.75,4,1.25,El Visionario Sereno,20,Masculino,Guanajuato,San Luis de la Paz
20/7/2026 16:51:25,5,5,5,4,2,4,4,4,4,4,4,4,4,3,4,3,4,2,2,4,4.25,3,3.5,3.5,2.5,El Visionario Sereno,24,Masculino,Guanajuato,San Luis de la Paz
20/7/2026 20:04:19,4,4,5,4,5,4,4,2,2,4,2,4,5,3,3,4,5,4,5,4,3.75,4.25,2.5,3.25,4,El Arquitecto Silencioso,21,Masculino,Guanajuato,San Felipe
20/7/2026 20:19:09,5,5,3,1,3,2,2,2,5,3,1,2,2,5,2,3,5,5,5,3,4.5,2.75,3.25,3,4.5,El Explorador Distraído,18,Masculino,Guanajuato,Dolores Hidalgo
20/7/2026 20:21:37,5,3,5,2,1,3,5,3,2,2,5,1,4,2,2,4,2,1,1,5,4.25,3,3.5,2.5,1.25,El Visionario Sereno,20,Masculino,Guanajuato,San Luis de la Paz
20/7/2026 20:51:19,4,3,2,3,4,4,2,3,2,1,3,3,4,3,2,5,4,3,5,3,3,3.25,2.25,2.5,3.75,El Introspectivo Profundo,21,Masculino,Guanajuato,San Luis de la Paz
20/7/2026 20:54:13,5,5,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3.25,3,3,3,El Filósofo de Bolsillo,21,Femenino,Guanajuato,San Luis de la Paz
20/7/2026 20:54:38,5,4,3,4,4,5,4,1,4,2,3,2,4,5,5,5,3,4,4,5,3.5,4.5,3.25,3.75,3,El Ejecutor Imparable,21,Masculino,Guanajuato,San Felipe
20/7/2026 20:54:51,4,5,4,4,3,4,4,4,3,2,4,3,5,4,4,4,3,4,4,4,3.75,3.25,3,3.75,3.25,El Filósofo de Bolsillo,22,Masculino,Guanajuato,San Luis de la Paz
20/7/2026 20:56:43,5,5,5,5,5,3,5,4,1,3,1,5,5,5,2,4,5,5,5,2,4,3.75,1.5,3.5,4.75,El Introspectivo Profundo,21,Masculino,Guanajuato,San Luis de la Paz
20/7/2026 20:57:44,4,3,3,5,3,5,4,5,2,1,3,5,5,4,3,3,5,5,5,3,2.75,3.25,1.75,3.75,4.5,El Introspectivo Profundo,20,Femenino,Guanajuato,San Felipe
20/7/2026 21:10:42,4,4,3,2,4,4,2,3,4,2,1,4,5,5,2,4,4,2,2,5,3.75,3.25,2.25,3.5,2.25,El Filósofo de Bolsillo,21,Masculino,Guanajuato,San Luis de la Paz
20/7/2026 21:16:55,4,5,2,4,2,5,4,4,3,2,4,2,5,4,4,3,3,4,4,2,3.25,3.25,3.25,4,3.75,El Guardián Leal,22,Femenino,Guanajuato,San Luis de la Paz
20/7/2026 21:20:51,4,5,3,4,4,5,5,5,3,1,2,5,4,4,5,3,5,3,5,2,3.5,3.75,1.75,4,4.25,El Introspectivo Profundo,21,Femenino,Guanajuato,Dolores Hidalgo
20/7/2026 21:40:24,5,4,1,5,5,5,5,3,3,1,1,5,5,2,3,5,3,5,5,5,2.75,4.5,1.5,2.75,3.5,El Arquitecto Silencioso,21,Femenino,Guanajuato,Dolores Hidalgo
21/7/2026 0:52:21,5,5,5,1,1,2,4,5,3,1,1,5,5,2,1,1,1,5,5,3,5,2,1.5,3.25,3.5,El Filósofo de Bolsillo,20,Femenino,Guanajuato,San Luis de la Paz
21/7/2026 1:25:14,3,5,5,4,2,5,4,4,2,4,3,4,5,1,3,5,5,5,5,4,3.75,3.25,2.75,2.5,4.25,El Escéptico Emocional,22,Femenino,Guanajuato,Dolores Hidalgo
21/7/2026 13:39:57,4,4,5,3,4,5,5,4,4,3,4,3,4,3,4,4,3,2,3,4,4,4,3.5,3.25,2.5,El Visionario Sereno,21,Masculino,Guanajuato,San Felipe
21/7/2026 13:47:03,5,4,4,3,2,3,3,4,4,1,3,5,4,4,4,3,2,1,1,4,4,2.5,2.25,3.75,1.5,El Visionario Sereno,25,Masculino,Guanajuato,San Luis de la Paz
21/7/2026 13:47:45,4,5,4,2,3,3,3,3,2,4,4,2,4,3,2,3,2,2,2,4,4.25,3,3.5,3,2,El Visionario Sereno,20,Masculino,Guanajuato,San Felipe
21/7/2026 13:49:23,5,4,5,1,5,4,3,2,1,2,5,3,5,5,2,2,5,5,5,5,4.75,4,2.75,4,4,El Filósofo de Bolsillo,17,Femenino,Guanajuato,San Felipe
21/7/2026 13:53:52,5,4,4,3,3,4,3,4,3,2,3,4,4,3,2,2,4,4,4,3,4,3,2.5,3.25,3.75,El Filósofo de Bolsillo,21,Masculino,Guanajuato,Dolores Hidalgo
21/7/2026 13:55:46,3,3,2,4,5,4,5,4,3,1,3,2,5,4,4,2,5,4,4,2,2.5,4,2.75,4.25,4.25,El Guardián Leal,24,Femenino,Guanajuato,Ocampo
21/7/2026 13:59:32,5,4,5,4,5,5,5,5,4,2,3,5,5,5,5,4,5,5,5,3,4,4,2.5,4.25,4.5,El Introspectivo Profundo,21,Femenino,Querétaro,Cadereyta de Montes Querétaro
21/7/2026 14:04:00,4,4,5,3,5,5,4,3,3,2,5,4,5,5,3,4,3,3,2,4,4,4.25,3,3.75,2.5,El Ejecutor Imparable,54,Masculino,Guanajuato,San Felipe
21/7/2026 14:10:02,5,5,4,3,5,5,5,3,4,3,3,3,3,4,3,5,3,4,5,5,4.25,4.5,3.25,2.75,3.25,El Estratega Sin Rodeos,30,Femenino,Hidalgo,Actopan
21/7/2026 14:10:12,4,5,5,5,2,5,5,3,4,3,1,5,5,3,3,5,4,4,4,2,3.75,3.75,2.25,3,4,El Introspectivo Profundo,21,Femenino,Guanajuato,Dolores Hidalgo
21/7/2026 14:11:07,5,5,3,1,4,5,4,3,3,2,5,5,5,5,1,5,1,4,5,5,4.5,4,2.75,3,2.75,El Filósofo de Bolsillo,28,Masculino,Hidalgo,Actopan
21/7/2026 14:11:26,5,5,5,4,5,4,5,3,3,1,4,4,4,3,3,4,5,4,4,3,4.25,4.25,2.5,3,4,El Filósofo de Bolsillo,24,Femenino,Hidalgo,Arenal
21/7/2026 14:14:30,5,3,3,5,3,5,3,5,3,3,5,5,5,5,3,3,5,3,5,5,3,3,3,4,3.5,El Guardián Leal,31,Femenino,Guanajuato,San Felipe
21/7/2026 14:17:10,5,4,4,4,5,5,5,3,5,1,1,4,5,5,4,4,4,4,5,3,3.75,4.5,2.25,4,4,El Arquitecto Silencioso,33,Femenino,Guanajuato,San Felipe
21/7/2026 14:20:45,3,4,5,3,4,5,4,2,3,2,3,4,4,4,2,2,3,4,3,2,3.75,4.25,2.5,3.5,3.5,El Arquitecto Silencioso,42,Femenino,Guanajuato,San Felipe
21/7/2026 14:26:24,5,5,5,3,4,4,5,1,3,4,5,5,4,5,3,3,4,3,4,5,4.5,4.5,3.25,3.75,3,El Visionario Sereno,34,Femenino,Guanajuato,San Felipe
21/7/2026 14:47:31,5,5,5,3,3,5,5,2,3,4,5,2,5,4,2,1,4,4,5,4,4.5,4.25,4,4,3.75,El Visionario Sereno,38,Femenino,Guanajuato,San Felipe
21/7/2026 14:50:14,4,5,3,2,3,4,4,3,3,4,3,5,4,3,1,4,4,4,3,3,4,3.5,2.75,2.5,3.5,El Crítico Creativo,26,Femenino,Guanajuato,San Felipe
21/7/2026 14:58:24,3,3,3,3,3,4,3,3,2,2,2,3,3,3,3,3,4,3,3,3,3,3.25,2.25,3,3.25,El Arquitecto Silencioso,18,Masculino,Guanajuato,León
21/7/2026 15:15:00,5,5,1,3,3,2,4,4,2,4,2,4,4,4,3,4,3,2,5,3,3.5,2.75,2.5,3.25,3.25,El Filósofo de Bolsillo,21,Masculino,Guanajuato,Dolores Hidalgo
21/7/2026 15:50:01,4,4,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3.5,2.75,2.75,3,3,El Explorador Distraído,26,Femenino,Guanajuato,San Felipe
21/7/2026 16:17:00,3,4,4,2,4,5,5,2,3,2,1,3,4,4,1,3,4,4,4,4,3.75,4.5,2.25,3,3.5,El Arquitecto Silencioso,33,Femenino,Sinaloa,Culiacan
21/7/2026 16:35:33,5,5,5,3,3,4,4,4,5,5,3,5,3,3,3,2,3,4,4,4,4.5,3.25,3.5,3.25,3.25,El Explorador Distraído,38,Femenino,Guanajuato,San Felipe
21/7/2026 18:06:59,5,3,4,3,3,4,4,3,3,2,3,4,4,4,3,3,4,3,4,3,3.75,3.5,2.5,3.5,3.5,El Filósofo de Bolsillo,38,Femenino,Guanajuato,San Felipe
21/7/2026 19:02:36,5,5,3,2,4,4,4,3,5,3,4,3,4,5,3,4,2,3,3,5,4.25,3.75,3.75,3.5,2.25,El Visionario Sereno,45,Masculino,Guanajuato,San Felipe
21/7/2026 19:55:57,5,5,4,5,5,5,5,5,3,1,1,5,5,5,1,5,5,5,5,1,3.75,4,1.5,3,5,El Introspectivo Profundo,55,Femenino,Hidalgo,Actopan
21/7/2026 20:14:18,4,4,3,4,5,5,5,4,4,2,4,4,5,5,3,4,4,5,5,3,3.25,4.25,3,3.75,4.25,El Arquitecto Silencioso,21,Femenino,Guanajuato,San Luis de la Paz
21/7/2026 21:17:15,3,2,1,2,3,4,3,1,1,1,3,3,2,1,1,2,4,3,4,2,2.5,3.75,2,2,3.75,El Arquitecto Silencioso,58,Masculino,Hidalgo,Actopan
21/7/2026 21:29:55,2,3,3,3,1,2,4,4,3,5,2,3,3,3,5,4,4,4,4,4,2.75,2.25,3.25,3.25,3.5,El Sensible Espontáneo,43,Femenino,Otro,San Felipe GTO
21/7/2026 21:29:58,5,4,2,3,5,5,5,2,3,1,4,3,5,5,3,1,5,5,5,5,3.5,4.75,2.75,4.5,4,El Arquitecto Silencioso,51,Femenino,Querétaro,Cadereyta de montes
21/7/2026 23:34:55,5,4,4,3,4,5,3,3,1,1,2,3,3,5,1,1,5,1,5,3,4,3.75,1.75,3.5,3.5,El Filósofo de Bolsillo,40,Femenino,Guanajuato,San Felipe
22/7/2026 1:16:26,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,1,5,5,5,4,5,3,4,3,El Arquitecto Silencioso,49,Femenino,Hidalgo,El Arenal
22/7/2026 13:38:58,5,5,5,3,5,5,4,2,3,2,2,3,4,3,1,3,2,2,3,4,4.5,4.5,2.5,2.75,2.25,El Visionario Sereno,27,Masculino,Guanajuato,San Felipe
1/8/2026 21:52:41,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,2,4,3.75,3,2.75,3,2,El Visionario Sereno,21,Masculino,Hidalgo,Actopan
2026-07-13 18:54:13,4,4,5,2,4,3,3,4,3,3,3,2,5,4,4,2,2,3,2,5,4.25,3,3.25,4.25,2,El Visionario Sereno,40,Masculino,Guanajuato,Irapuato
