submitted_at,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,O,C,E,A,N,arquetipo,edad,genero,estado,municipio
17/07/2026 15:09:28,2,3,3,3,4,4,4,2,4,3,3,3,5,5,5,1,2,3,3,4,2.75,4.0,3.25,5.0,2.5,El Ancla Emocional,26,Femenino,Queretaro,N/A
28/07/2026 17:29:34,1,1,1,4,3,4,4,3,3,3,3,4,5,5,5,1,4,3,3,3,1.25,3.5,2.75,5.0,3.25,El Guardián Leal,31,Femenino,Guanajuato,Silao
23/07/2026 01:09:16,4,4,3,3,3,2,3,4,4,3,4,3,4,4,3,3,5,4,4,3,3.5,2.5,3.5,3.5,4.0,El Sensible Espontáneo,25,Masculino,Queretaro,N/A
07/07/2026 08:18:01,3,3,3,4,4,4,4,1,2,2,2,3,4,4,4,2,3,3,3,2,2.75,4.25,2.25,4.0,3.25,El Arquitecto Silencioso,26,Otro,Ciudad de Mexico,N/A
28/07/2026 06:35:57,5,5,4,2,5,5,5,2,3,3,3,2,3,2,3,4,2,3,3,4,4.5,4.75,3.25,2.5,2.5,El Estratega Sin Rodeos,24,Femenino,Guanajuato,Leon
11/07/2026 15:01:03,3,3,2,3,4,4,4,1,3,2,2,4,3,4,4,2,2,2,2,3,2.75,4.25,2.25,3.75,2.25,El Arquitecto Silencioso,18,Femenino,Guanajuato,Salamanca
18/07/2026 09:33:01,4,3,4,3,5,5,5,2,2,2,2,4,4,4,4,2,3,2,3,5,3.5,4.75,2.0,4.0,2.25,El Arquitecto Silencioso,25,Otro,Jalisco,N/A
30/07/2026 21:41:17,4,4,4,1,4,4,4,2,3,3,3,3,4,3,4,4,3,2,3,2,4.25,4.0,3.0,3.25,3.0,El Filósofo de Bolsillo,23,Masculino,Guanajuato,San Miguel de Allende
27/07/2026 00:53:21,3,3,3,3,5,5,5,2,3,3,2,3,3,4,4,2,4,4,4,1,3.0,4.75,2.75,3.75,4.25,El Arquitecto Silencioso,26,Femenino,Guanajuato,Guanajuato
09/07/2026 10:41:21,2,3,3,3,5,5,4,1,4,3,3,3,5,5,4,1,4,4,4,2,2.75,4.75,3.25,4.75,4.0,El Guardián Leal,27,Masculino,Queretaro,N/A
